Type,Part No,Volume (cm^3),Mass (g),Capacitance (F),Max Voltage (V),Internal Resistance (Ohm),Energy Density (J/g),Energy Density (J/cm^3),Power Density (W/cm^3),Power Density (W/g),Charge time,URL,Cycle/life,Sustainability,
Aerogel,Green,0.627554495384605,0.89,1,2.7,0.02,4.09550561797753,5.80826052049251,290.413026024625,204.775280898876,minutes,,500000,,
Activated Carbon,Black,0.318909721017548,0.56,1,2.7,4,6.50892857142857,11.4295669268716,2.85739173171789,1.62723214285714,,,500000,,
Polyacene,Flat,0.468,0.6,0.5,2.5,0.08,2.60416666666667,3.33867521367521,83.4668803418803,65.1041666666667,,,500000,,
Activated Carbon,Giant,66.465444267679,72.3,400,2.7,0.0032,20.1659751037344,21.9362108545929,17.1376647301507,15.7546680497925,,,500000,,
Lithium-Ion Battery,,,,,,,,,,,,,,,
"Lithium-ion panasonic

Note: Particular product has no power density.Used top level specs",UR18650ZTA,8.37442070208,48,,4.35,,792,223.2,0.22-4.0,.75-1.75,4h,http://www.panasonic.com/industrial/includes/pdf/ACA4000CE305-UR18650ZTA.pdf,800,,http://www.thermoanalytics.com/support/publications/batterytypesdoc.html
lithium-ion Samsung,ICR 18650-30A,8.50131623046875,48,,4.35,,850.5,48,0.133,0.236,5.214h,http://www.samsungsdi.com/battery/cylindrical-ICR18650-30A.jsp,800,,http://www.thermoanalytics.com/support/publications/batterytypesdoc.html
Polymer rechargeable LI,PGF 3558120,9.2872,55,,4.1,,663.6,3928.6,,,,,500,,http://www.thermoanalytics.com/support/publications/batterytypesdoc.html
Gasoline,,,,,,,,,,,,,,,
Fuel cell,http://www.arbin.com/single-fuel-cell-specifications,The link to the left has specs for five types of fuel cells,http://www.utcpower.com/products/purecell400,The link to the left has another spec,The fuel cells article in the dropbox also has specs,,,,,,,,,,
Lead Acid battery,PS-682,634.368,1520,,6,,127.894736842105,306.446731234867,0.004256204600484,0.001776315789474,Order of hours,http://datasheet.octopart.com/PS-1270F1-Power-Sonic-datasheet-17530.pdf,600,,http://www.thermoanalytics.com/support/publications/batterytypesdoc.html
Fuel Cell 25cm2, FC-H2-251REF,1152,1000,,DC: 0.7V,?,?,?,?,?,?,,?,,
Coal,,,,,,,24000,23300.9708737864,,,,http://hypertextbook.com/facts/2003/JuliyaFisher.shtml,,,
Wood,,,,,,,14890,23634.9206349206,,,,,,,